"","OFNS_DESC","LAW_CAT_CD","BORO_NM","PREM_TYP_DESC","Latitude","Longitude"
"235305","VEHICLE AND TRAFFIC LAWS","MISDEMEANOR","BROOKLYN","STREET",40.6288601,-73.9569863
"4533","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","MANHATTAN","STREET",40.81026908,-73.94930464
"93027","PETIT LARCENY","MISDEMEANOR","BROOKLYN","STREET",40.65076912,-73.95047814
"122763","OTHER OFFENSES RELATED TO THEF","MISDEMEANOR","BROOKLYN","STREET",40.68414472,-73.942622
"15598","ROBBERY","FELONY","QUEENS","STREET",40.71223182,-73.80649763
"268760","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","MANHATTAN","STREET",40.71656605,-74.01002266
"150008","GRAND LARCENY","FELONY","BRONX","STREET",40.88913821,-73.86201654
"128132","GRAND LARCENY","FELONY","MANHATTAN","STREET",40.79275981,-73.97131548
"31639","GRAND LARCENY","FELONY","MANHATTAN","STREET",40.74027005,-74.00586548
"164945","MISCELLANEOUS PENAL LAW","FELONY","QUEENS","STREET",40.76886368,-73.92681223
"174951","GRAND LARCENY OF MOTOR VEHICLE","FELONY","BROOKLYN","STREET",40.7298797,-73.94614739
"264007","GRAND LARCENY","FELONY","QUEENS","STREET",40.70917066,-73.91844471
"108150","FORGERY","FELONY","BROOKLYN","STREET",40.66438124,-73.91814263
"297720","INTOXICATED & IMPAIRED DRIVING","MISDEMEANOR","BROOKLYN","STREET",40.68024916,-73.91122605
"118254","DANGEROUS WEAPONS","FELONY","MANHATTAN","STREET",40.71626281,-73.97991582
"68308","FELONY ASSAULT","FELONY","BRONX","STREET",40.87368018,-73.87923127
"242407","DANGEROUS DRUGS","FELONY","BRONX","STREET",40.82244984,-73.90198917
"16135","OFF. AGNST PUB ORD SENSBLTY &","MISDEMEANOR","BROOKLYN","STREET",40.57981244,-73.97183533
"235390","INTOXICATED & IMPAIRED DRIVING","MISDEMEANOR","QUEENS","STREET",40.70052514,-73.89837079
"143568","HARRASSMENT 2","VIOLATION","BROOKLYN","STREET",40.60187308,-74.00231698
"123410","DANGEROUS DRUGS","MISDEMEANOR","BROOKLYN","STREET",40.70144666,-73.94048286
"23581","DANGEROUS WEAPONS","FELONY","BRONX","STREET",40.80693189,-73.92076681
"274807","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","QUEENS","STREET",40.75668009,-73.82879452
"100588","HARRASSMENT 2","VIOLATION","BRONX","STREET",40.82465713,-73.82035981
"312728","PETIT LARCENY","MISDEMEANOR","BRONX","STREET",40.82098643,-73.89222896
"15768","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","MANHATTAN","STREET",40.82202656,-73.95367833
"254592","DANGEROUS WEAPONS","MISDEMEANOR","QUEENS","STREET",40.67448694,-73.76182118
"281994","ROBBERY","FELONY","BRONX","STREET",40.8655345,-73.86257891
"89465","ROBBERY","FELONY","MANHATTAN","STREET",40.81201568,-73.95150695
"116024","FRAUDS","MISDEMEANOR","BROOKLYN","STREET",40.67185501,-73.88291686
"304627","","MISDEMEANOR","QUEENS","STREET",40.75012854,-73.90832138
"296195","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","MANHATTAN","STREET",40.79159862,-73.94173488
"68087","VEHICLE AND TRAFFIC LAWS","MISDEMEANOR","QUEENS","STREET",40.77078129,-73.91726091
"38195","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BROOKLYN","STREET",40.60370638,-74.00757847
"182381","OFF. AGNST PUB ORD SENSBLTY &","MISDEMEANOR","QUEENS","STREET",40.66051429,-73.83058758
"49184","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","QUEENS","STREET",40.76222189,-73.79524134
"146484","CRIMINAL MISCHIEF & RELATED OF","FELONY","BROOKLYN","STREET",40.58087082,-73.95901881
"105689","GRAND LARCENY","FELONY","MANHATTAN","STREET",40.72861311,-74.00531603
"214778","DANGEROUS WEAPONS","FELONY","BRONX","STREET",40.85934907,-73.9044762
"32552","DANGEROUS WEAPONS","FELONY","QUEENS","STREET",40.66433459,-73.74668953
"114976","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","MANHATTAN","STREET",40.75454618,-73.97742462
"172069","ROBBERY","FELONY","MANHATTAN","STREET",40.800729,-73.95063748
"253918","GRAND LARCENY OF MOTOR VEHICLE","FELONY","STATEN ISLAND","STREET",40.55039886,-74.17456607
"215671","GRAND LARCENY OF MOTOR VEHICLE","FELONY","QUEENS","STREET",40.70594964,-73.76956074
"260684","HARRASSMENT 2","VIOLATION","BRONX","STREET",40.8835839,-73.8628056
"16295","DANGEROUS DRUGS","FELONY","BROOKLYN","STREET",40.69669679,-73.93779321
"206835","HARRASSMENT 2","VIOLATION","MANHATTAN","STREET",40.73205497,-74.00656474
"33751","DANGEROUS DRUGS","FELONY","MANHATTAN","STREET",40.72726974,-73.98265814
"67810","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX","STREET",40.85031637,-73.88643784
"260888","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX","STREET",40.83338861,-73.91004603
"44897","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","QUEENS","STREET",40.74057854,-73.84983826
"184222","GRAND LARCENY OF MOTOR VEHICLE","FELONY","BROOKLYN","STREET",40.67612923,-73.935999
"296514","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","MANHATTAN","STREET",40.76976178,-73.95457753
"153924","HARRASSMENT 2","VIOLATION","QUEENS","STREET",40.7409956,-73.92577106
"27889","BURGLARY","FELONY","MANHATTAN","STREET",40.80271752,-73.9365419
"297102","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","MANHATTAN","STREET",40.71919318,-73.99689179
"49487","ROBBERY","FELONY","BROOKLYN","STREET",40.72337224,-73.94127502
"166459","DANGEROUS WEAPONS","MISDEMEANOR","BROOKLYN","STREET",40.6295272,-73.92508084
"187542","MISCELLANEOUS PENAL LAW","FELONY","STATEN ISLAND","STREET",40.56378204,-74.1558533
"134359","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","MANHATTAN","STREET",40.7379646,-73.99826215
"164421","POSSESSION OF STOLEN PROPERTY","MISDEMEANOR","MANHATTAN","STREET",40.74635765,-73.99029334
"12644","HARRASSMENT 2","VIOLATION","QUEENS","STREET",40.7623158,-73.827448
"42690","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","MANHATTAN","STREET",40.75595881,-73.99072869
"274791","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX","STREET",40.82472816,-73.87146137
"11349","PETIT LARCENY","MISDEMEANOR","QUEENS","STREET",40.72364966,-73.842228
"259711","VEHICLE AND TRAFFIC LAWS","MISDEMEANOR","BROOKLYN","STREET",40.65127378,-74.00390798
"203657","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","STATEN ISLAND","STREET",40.56107218,-74.1858695
"48718","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX","STREET",40.87181238,-73.84375305
"300133","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","QUEENS","STREET",40.75451065,-73.86994014
"304593","DANGEROUS DRUGS","MISDEMEANOR","MANHATTAN","STREET",40.81175191,-73.9508605
"226052","HARRASSMENT 2","VIOLATION","MANHATTAN","STREET",40.75924936,-73.98663488
"305819","DANGEROUS WEAPONS","MISDEMEANOR","BROOKLYN","STREET",40.65868262,-73.90018979
"231647","GRAND LARCENY OF MOTOR VEHICLE","FELONY","BRONX","STREET",40.8568213,-73.89817173
"50311","DANGEROUS WEAPONS","MISDEMEANOR","BROOKLYN","STREET",40.66531873,-73.8902997
"6765","FELONY ASSAULT","FELONY","MANHATTAN","STREET",40.83318394,-73.94180688
"300330","CRIMINAL MISCHIEF & RELATED OF","FELONY","BROOKLYN","STREET",40.66499204,-73.88462305
"90543","OFF. AGNST PUB ORD SENSBLTY &","MISDEMEANOR","MANHATTAN","STREET",40.74777309,-73.98295957
"67212","DANGEROUS DRUGS","MISDEMEANOR","MANHATTAN","STREET",40.75530034,-73.99492296
"22497","CRIMINAL MISCHIEF & RELATED OF","FELONY","STATEN ISLAND","STREET",40.63108267,-74.12857206
"288484","UNAUTHORIZED USE OF A VEHICLE","MISDEMEANOR","BROOKLYN","STREET",40.61626467,-73.96647109
"180098","MISCELLANEOUS PENAL LAW","FELONY","QUEENS","STREET",NA,NA
"194823","INTOXICATED & IMPAIRED DRIVING","MISDEMEANOR","MANHATTAN","STREET",40.74709214,-73.98135013
"12635","PETIT LARCENY","MISDEMEANOR","BROOKLYN","STREET",40.67192673,-73.93083356
"314475","POSSESSION OF STOLEN PROPERTY","MISDEMEANOR","MANHATTAN","STREET",40.86461531,-73.92156939
"173431","DANGEROUS WEAPONS","MISDEMEANOR","BRONX","STREET",40.84198992,-73.92449462
"209458","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BROOKLYN","STREET",40.68002413,-73.95324697
"160786","GRAND LARCENY","FELONY","QUEENS","STREET",40.71114339,-73.82987456
"292461","GRAND LARCENY","FELONY","QUEENS","STREET",40.70821043,-73.79367593
"32996","CRIMINAL MISCHIEF & RELATED OF","FELONY","MANHATTAN","STREET",40.76123368,-73.98553711
"62143","DANGEROUS DRUGS","MISDEMEANOR","BRONX","STREET",40.80751388,-73.91701657
"202022","ROBBERY","FELONY","BRONX","STREET",40.86662251,-73.90120097
"244925","DANGEROUS DRUGS","MISDEMEANOR","BROOKLYN","STREET",40.67155703,-73.93225427
"253875","DANGEROUS DRUGS","MISDEMEANOR","BROOKLYN","STREET",40.64958053,-73.93886421
"144","OFFENSES AGAINST THE PERSON","MISDEMEANOR","BROOKLYN","STREET",40.66345656,-73.88348669
"235924","GRAND LARCENY","FELONY","QUEENS","STREET",40.70660512,-73.90857961
"180050","HARRASSMENT 2","VIOLATION","BROOKLYN","STREET",40.64308271,-73.98732837
"160287","ROBBERY","FELONY","BROOKLYN","STREET",40.64807745,-73.89783445
"228807","DANGEROUS DRUGS","MISDEMEANOR","BRONX","STREET",40.83493863,-73.848917
"64663","HARRASSMENT 2","VIOLATION","BRONX","STREET",40.82015932,-73.87247098
"89631","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BROOKLYN","STREET",40.68186612,-73.878497
"32616","GRAND LARCENY","FELONY","BRONX","STREET",40.87148087,-73.83056354
"21810","GRAND LARCENY","FELONY","MANHATTAN","STREET",40.75657634,-73.99027741
"141548","GRAND LARCENY OF MOTOR VEHICLE","FELONY","BRONX","STREET",40.84558768,-73.88141835
"89171","DANGEROUS DRUGS","MISDEMEANOR","BROOKLYN","STREET",40.66256755,-73.95374581
"134626","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","MANHATTAN","STREET",40.80159765,-73.97054594
"261977","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","QUEENS","STREET",40.69262614,-73.8574108
"170360","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX","STREET",40.8486742,-73.91779656
"232145","BURGLAR'S TOOLS","MISDEMEANOR","BROOKLYN","STREET",40.67039304,-73.98529725
"138969","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","QUEENS","STREET",40.67423753,-73.7285256
"284445","PETIT LARCENY","MISDEMEANOR","QUEENS","STREET",40.74041025,-73.88212879
"24478","HARRASSMENT 2","VIOLATION","BROOKLYN","STREET",40.69789647,-73.99460636
"247023","HARRASSMENT 2","VIOLATION","BROOKLYN","STREET",40.60245773,-74.0017084
"50589","FRAUDS","MISDEMEANOR","BRONX","STREET",40.89432356,-73.86026239
"217810","DANGEROUS WEAPONS","FELONY","BROOKLYN","STREET",40.67081759,-73.93511009
"272902","DANGEROUS DRUGS","MISDEMEANOR","BRONX","STREET",40.82626676,-73.88880584
"206629","HARRASSMENT 2","VIOLATION","BROOKLYN","STREET",40.66708692,-73.89993209
"102096","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX","STREET",40.88846199,-73.84195621
"86248","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","MANHATTAN","STREET",40.76224421,-73.98986507
"104227","DANGEROUS DRUGS","FELONY","BROOKLYN","STREET",40.68620802,-73.93121176
"124578","FELONY ASSAULT","FELONY","MANHATTAN","STREET",40.77915274,-73.94477518
"272184","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BROOKLYN","STREET",40.72696507,-73.95311663
"227252","ROBBERY","FELONY","BROOKLYN","STREET",40.63332565,-74.00287652
"75393","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX","STREET",40.89719969,-73.84911911
"91653","OFF. AGNST PUB ORD SENSBLTY &","MISDEMEANOR","MANHATTAN","STREET",40.76605315,-73.98336643
"302776","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","MANHATTAN","STREET",40.7408657,-74.00515823
"316004","OFFENSES INVOLVING FRAUD","MISDEMEANOR","BROOKLYN","STREET",40.66978806,-73.95829369
"89193","PETIT LARCENY","MISDEMEANOR","MANHATTAN","STREET",40.75703431,-73.98623827
"27126","PETIT LARCENY","MISDEMEANOR","QUEENS","STREET",40.65978636,-73.75294944
"254504","HARRASSMENT 2","VIOLATION","BRONX","STREET",40.88691287,-73.83335601
"215969","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX","STREET",40.83875187,-73.91375756
"65728","PETIT LARCENY","MISDEMEANOR","BROOKLYN","STREET",40.65990007,-73.94255274
"4319","PETIT LARCENY","MISDEMEANOR","BROOKLYN","STREET",40.64903405,-73.89634466
"281914","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX","STREET",40.83652238,-73.89021979
"255254","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX","STREET",40.83877887,-73.86470137
"43929","MISCELLANEOUS PENAL LAW","FELONY","MANHATTAN","STREET",40.71684872,-73.98955452
"53246","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","QUEENS","STREET",40.68414228,-73.85322842
"287983","ROBBERY","FELONY","BRONX","STREET",40.84606416,-73.84163045
"191702","MISCELLANEOUS PENAL LAW","FELONY","BROOKLYN","STREET",40.61210515,-73.95504136
"281249","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX","STREET",40.83725235,-73.87150583
"163832","GRAND LARCENY","FELONY","QUEENS","STREET",40.72331555,-73.84077488
"300064","HARRASSMENT 2","VIOLATION","BROOKLYN","STREET",40.69437289,-73.95799703
"308323","OFFENSES INVOLVING FRAUD","MISDEMEANOR","MANHATTAN","STREET",40.70275121,-74.01421146
"202306","FELONY ASSAULT","FELONY","BROOKLYN","STREET",40.67182269,-73.89196169
"41664","PETIT LARCENY","MISDEMEANOR","MANHATTAN","STREET",40.73789441,-73.98090525
"319574","PETIT LARCENY","MISDEMEANOR","BROOKLYN","STREET",40.66572509,-73.88759558
"109619","ROBBERY","FELONY","BROOKLYN","STREET",40.58053684,-73.96158942
"164300","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX","STREET",40.87289947,-73.88069348
"150551","MISCELLANEOUS PENAL LAW","FELONY","MANHATTAN","STREET",40.75942552,-73.99191579
"67355","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX","STREET",40.82100716,-73.89689333
"119350","FELONY ASSAULT","FELONY","MANHATTAN","STREET",40.81541093,-73.9399113
"63170","DANGEROUS DRUGS","MISDEMEANOR","BRONX","STREET",40.87806608,-73.83482101
"256888","DANGEROUS DRUGS","MISDEMEANOR","BRONX","STREET",40.89581628,-73.84288279
"128187","DANGEROUS DRUGS","FELONY","BROOKLYN","STREET",40.59444305,-73.9648365
"248737","INTOXICATED & IMPAIRED DRIVING","MISDEMEANOR","MANHATTAN","STREET",40.83191361,-73.9427403
"67055","MISCELLANEOUS PENAL LAW","FELONY","BROOKLYN","STREET",40.65368426,-73.95781001
"319127","VEHICLE AND TRAFFIC LAWS","MISDEMEANOR","BROOKLYN","STREET",40.70913631,-73.96410872
"318730","FELONY ASSAULT","FELONY","BROOKLYN","STREET",40.66156215,-73.92594596
"70729","CRIMINAL MISCHIEF & RELATED OF","FELONY","BROOKLYN","STREET",40.68846702,-73.9827151
"247185","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","BROOKLYN","STREET",40.66179132,-73.90872393
"76803","PETIT LARCENY","MISDEMEANOR","QUEENS","STREET",40.7486008,-73.88504849
"255722","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX","STREET",40.86940475,-73.87999832
"291143","DANGEROUS DRUGS","FELONY","QUEENS","STREET",40.77078129,-73.91726091
"237118","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","MANHATTAN","STREET",40.71672693,-73.98143798
